run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c
3734,32,96,16,0,1,1,1,1,1,1,0,1,1,1,1,204.26047,296.2211819,208.2997233,6.337012507,20.0605701,17.06690741,204.8554332,296.2757519,209.6617393,6.331943529,20.01466281,17.14588297,-4.430916834,19.27182348,-14.840787,4.439460041,-19.25427326,14.8149717
3735,32,96,16,0,1,1,1,1,1,1,1,0,1,1,1,203.1727448,297.6305625,207.3320755,3.459725104,7.278008997,10.92009678,203.6075607,298.8318055,207.1420526,6.969219128,7.253680879,7.219034418,-1.337319708,5.902188056,-4.564695126,1.368632449,-5.867592767,4.499128132
3736,32,96,16,0,1,1,1,1,1,1,1,1,0,1,1,203.7366108,298.0734394,205.819977,5.774633484,5.462936141,11.70257297,204.6745794,299.0400122,205.5276419,9.186717622,4.309865319,9.370748207,-5.303427094,-1.389052829,6.692657657,5.350112512,1.383768479,-6.733687265
3737,32,96,16,0,1,1,1,1,1,1,1,1,1,0,1,197.8149595,301.058901,208.1754278,69.7828434,74.24089919,37.81540952,200.0763423,307.4486668,201.0685537,71.03725223,74.33439841,31.2861272,-47.63416558,48.16580889,-0.5315902355,47.85687469,-48.21843453,0.3616157761
3738,32,96,16,0,1,1,1,1,1,1,1,1,1,1,0,193.7387552,310.2695605,211.7957049,6.670103571,20.62430437,22.51204869,193.3086066,311.5929398,212.1268318,9.32060356,20.75092449,21.05064063,-0.7832914436,16.00416044,-15.21898562,0.8081887171,-15.70481744,14.8984872
3739,32,96,16,1,0,1,1,1,1,1,1,1,1,1,1,203.1892022,297.6100689,207.3408992,3.470018541,7.2103368,10.86187873,203.6213927,298.8062486,207.1660146,6.945786423,7.195016053,7.162677991,1.368265729,-5.836978685,4.468885098,-1.40021164,5.801854571,-4.401450519
3740,32,96,16,1,0,1,1,1,1,0,1,1,1,1,1,204.2591402,296.2279416,208.3002016,6.336728404,20.0207139,17.02596111,204.8551829,296.2740117,209.657572,6.331864702,19.96638859,17.10550883,4.430248091,-19.22797911,14.79776124,-4.439710182,19.20949459,-14.76977016
3741,32,96,16,1,0,1,1,1,1,1,0,1,1,1,1,169.2836854,504.6280415,237.3979615,18.68550135,24.79936963,31.82898745,161.5569176,503.6656034,233.5838191,15.52348328,26.23120758,29.78180759,8.519185387,16.08247715,-24.60237969,-5.299603738,-21.26928115,26.56810147
3742,32,96,16,1,0,1,1,1,1,1,1,0,1,1,1,203.7332916,298.0754549,205.8173457,5.742276872,5.458060569,11.67566454,204.6758878,299.0406109,205.5317765,9.175118723,4.308403849,9.364164449,5.271301234,1.395550052,-6.666678761,-5.318444802,-1.391277236,6.709903439
3743,32,96,16,1,0,1,1,1,1,1,1,1,0,1,1,201.5947757,298.2875077,209.9096828,22.35733787,55.22341113,56.13649993,206.9603987,296.677321,207.4351248,27.04066389,54.06561542,56.41704757,0.3514747316,-36.93514011,36.58366279,-0.4134933445,36.72896858,-36.31547272
