run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c,V1f_a,V1f_b,V1f_c,I1f_a,I1f_b,I1f_c,V2f_a,V2f_b,V2f_c,I2f_a,I2f_b,I2f_c,V1ang_a,V1ang_b,V1ang_c,I1ang_a,I1ang_b,I1ang_c,V2ang_a,V2ang_b,V2ang_c,I2ang_a,I2ang_b,I2ang_c
1711,32,96,48,1,1,1,1,1,0,1,0,1,1,1,1,196.9508743,244.3209329,252.9816912,52.22669177,53.65043886,20.99101488,195.8332571,239.1204947,258.6915888,50.65205582,53.23772372,24.70303657,-35.37870143,35.3046503,0.07448152967,35.12143159,-35.17200094,0.0510214872,195.6234642,242.7948643,252.7366116,13.72313439,12.76058388,9.81805363,195.7291333,238.6469529,258.3357152,7.958834225,12.11165223,16.17407045,0,-131.9777977,119.8232046,26.871244,156.6012295,-89.54125507,-1.255710404,-131.2513169,120.3753097,-127.9866393,-41.73430048,102.5872056
1712,32,96,48,1,1,1,1,1,0,1,1,0,1,1,1,196.3856716,240.225761,256.0154532,8.570757613,8.558976608,3.925997574,198.4158049,239.4365397,256.0599359,9.903461394,6.677860227,6.606356018,-7.39890084,6.044872216,1.354099173,7.343288855,-6.00129231,-1.341929647,196.3672067,240.1985238,256.0145171,3.658402842,5.527109221,3.398927461,198.4108636,239.4311578,256.06101,6.234320495,1.572345388,6.311355896,0,-130.8022932,121.0144913,57.40294388,-126.5456988,55.79679606,-0.03212251251,-131.0860514,121.3999525,-29.77168867,64.8028509,150.3385674
1713,32,96,48,1,1,1,1,1,0,1,1,1,0,1,1,198.4899088,241.1802155,254.0190757,46.19864964,21.20089206,43.94148487,203.0243454,237.3301225,255.3949994,46.37922557,18.86269308,45.16575697,-30.98123135,0.3785212524,30.60252531,31.05220636,-0.3436456356,-30.70872491,198.2303782,240.8050371,253.9709129,10.78123548,13.38475398,6.784549849,201.867786,237.0554032,254.4769739,10.52711359,9.452085001,11.86429913,0,-132.0970041,120.7005587,67.33093236,-140.4217053,0.3177251555,-0.7657203523,-132.8151205,121.6272107,-71.59276851,36.24025541,150.4220305
1714,32,96,48,1,1,1,1,1,0,1,1,1,1,0,1,192.9655234,241.8158867,257.1167162,35.12642706,30.3631969,6.470518352,193.5041211,241.8640389,257.5530518,35.03971935,30.33840254,6.436449194,-32.89793458,28.83667431,4.06126308,32.83695369,-28.80694423,-4.029999738,192.8094332,241.6330725,256.9961877,3.713004953,1.976817739,3.487950594,193.2973917,241.7159717,257.4299137,3.520174712,2.060183794,3.472581174,0,-129.7539776,120.5137624,-1.979601944,-133.9333539,120.6776626,0.07039069167,-129.7294426,120.5526167,1.866791189,-125.8277449,120.195863
1715,32,96,48,1,1,1,1,1,0,1,1,1,1,1,0,309.5773644,332.6288843,297.6513552,16.38342394,16.05445269,9.623063736,310.8538196,333.4851165,299.4948274,14.34708772,15.79348842,10.66793944,-10.77151046,10.34620158,0.4263685917,3.993040281,-8.256389802,4.264503695,231.6816517,278.89035,206.8829463,4.212139238,3.767248594,2.922519855,234.5483828,280.9824268,208.0167218,8.413355153,7.00315484,5.040532045,0,-155.0949734,112.9480493,71.75914759,-43.21587089,176.4472785,0.07143813452,-155.1094762,113.0066196,-28.46077142,174.9220465,81.63770414
1716,48,32,16,1,1,1,1,1,1,1,1,1,1,1,1,243.3981146,273.2783715,181.5604553,3.081989278,5.167670691,6.534457977,243.7512827,274.121428,182.5338492,3.557642354,5.090744559,5.96096728,0.004107537151,-0.005167825335,0.001062516093,-0.004170252098,0.004652986124,-0.0004861715856,243.3934718,273.2816766,181.5614447,3.081269841,5.16738821,6.534255677,243.7466337,274.1247741,182.5348231,3.557005187,5.090451845,5.960729048,0,-100.8026869,138.4267099,-7.403085028,-98.47136749,134.9640147,0.08501802017,-100.7496788,138.5864356,6.295097309,-103.3923448,141.7892851
1717,48,32,16,1,1,1,1,1,1,0,1,1,1,1,1,243.4514247,273.1773629,181.9920735,6.131050425,9.628096804,6.373725887,244.2242711,272.7144243,184.4074843,3.759304547,8.993015095,10.94317294,1.545184749,-6.856891302,5.311690406,-1.528170971,6.897326012,-5.369166475,243.4455634,273.179531,181.9917575,5.781489089,6.668934244,3.277146743,244.217857,272.7040832,184.3935655,3.164639791,5.665120837,9.447263134,0,-100.4892673,138.6536292,28.46959976,-131.5302936,155.8638689,-0.2807037945,-100.2509082,139.0274705,-61.35688001,-63.28075378,132.6278958
1718,48,32,16,1,1,1,1,1,1,1,0,1,1,1,1,243.4566102,273.1718928,181.9905975,6.127259179,9.635024478,6.380629096,244.226956,272.7136589,184.4063653,3.754621713,8.99944547,10.93909703,-1.54859348,6.86483845,-5.316240417,1.531508202,-6.906370335,5.374848289,243.4507819,273.1740466,181.9902882,5.776245877,6.669097381,3.281558755,244.220596,272.7032719,184.3923721,3.156778546,5.663633789,9.439375351,0,-100.4894552,138.6552661,28.39098177,-131.5181549,155.6971798,-0.28023011,-100.2508321,139.028008,-61.25928724,-63.28379784,132.6719736
1719,48,32,16,1,1,1,1,1,1,1,1,0,1,1,1,244.1911427,272.8320873,181.1635066,7.176288171,9.277099823,12.54468285,245.7320821,273.8006156,180.4311956,10.64501614,4.619636659,10.82633998,6.749581442,1.682949355,-8.432547293,-6.800711844,-1.674109112,8.474808259,244.1825752,272.8343927,181.1638929,1.495095836,8.978267373,9.089570536,245.7011676,273.8010505,180.4086499,7.958133294,3.987911443,6.463407832,0,-101.0657438,138.3842117,-150.5683823,-78.54749129,107.9125896,0.4313461624,-101.4174961,138.7977044,5.364971962,-161.87299,-176.6399537
1720,48,32,16,1,1,1,1,1,1,1,1,1,0,1,1,244.1949116,272.8303646,181.1624909,7.206522624,9.286038128,12.5640669,245.739892,273.7998704,180.4303706,10.66959451,4.612899547,10.84698968,-6.782525782,-1.674171403,8.456697851,6.833602394,1.664352777,-8.49795387,244.1863243,272.832677,181.1628833,1.497681671,8.99060548,9.094551299,245.7088265,273.800344,180.4077955,7.963881432,3.987075464,6.467024682,0,-101.0663701,138.3844553,-150.8746509,-78.54456785,107.8807575,0.4313695611,-101.4189032,138.7979314,5.319873198,-162.0513767,-176.5853824
