run_id,f1,f2,P1,P2,Q1,Q2,wall_s,ok
4205,49.98527695,49.9852909,2949.52965,2937.004956,44.21712059,-130.1516471,3.7380422,1
4206,49.96980129,49.97308011,5757.73735,5685.048727,648.9021106,-459.3953947,3.6918312,1
4207,49.98404566,49.98403622,3192.072452,3189.803356,62.75233176,-105.4743277,3.643927,1
4208,49.98531021,49.98531026,2942.236919,2933.527926,43.1358393,-126.1762882,3.7678192,1
4209,49.98523701,49.98521786,2957.454847,2953.291009,49.19119043,-117.0105119,3.6580144,1
4210,49.9794806,49.97997554,4089.20066,3923.791304,267.7945505,-32.80112278,3.6524137,1
4211,49.98529149,49.98527933,2945.687058,2940.062333,42.4433142,-128.4319915,3.6887275,1
4212,49.98112253,49.98024961,3680.294451,3897.532382,90.30354216,66.88817223,3.6967799,1
4213,49.98405,49.98401753,3195.364774,3191.156872,63.00545995,-105.6409966,3.6753637,1
4214,49.96811969,49.97500869,5987.438179,5436.972103,340.4298843,-148.4431898,3.6008747,1
4215,49.98871584,49.98872429,2258.789417,2253.046123,31.01014039,-79.954669,3.7388211,1
4216,49.98863754,49.98864289,2274.287907,2269.397358,27.67578788,-82.11498958,3.6167284,1
4217,49.98863597,49.98864501,2274.51558,2269.138158,27.77493352,-82.2202573,3.7121704,1
4218,49.98863866,49.9886413,2274.820642,2269.092921,25.88389466,-84.51389395,3.773253,1
4219,49.98863776,49.98864128,2273.981992,2270.005752,25.49684913,-84.08822239,3.7259214,1
4220,49.98865653,49.98865916,2270.121315,2266.690834,23.79937812,-85.62850263,3.6359622,1
4221,49.98865644,49.98865908,2270.654782,2266.03994,24.28107215,-86.12517238,3.7717424,1
4222,49.9886333,49.98864003,2276.410653,2268.859384,30.85581813,-81.45797993,3.7963551,1
4223,49.98008677,49.9793028,3908.462075,4233.852379,-547.741241,82.24347298,3.6621851,1
4224,49.98738578,49.98741934,2523.274762,2517.042686,71.52462777,-40.52931709,3.7792295,1
4225,49.98404739,49.98573579,3141.230883,2737.256089,200.2067176,-65.90681141,3.8376369,1
4226,49.98870759,49.98841795,2265.520119,2313.813403,22.50939849,-76.3019487,3.7582538,1
4227,49.98505433,49.98444754,2901.933324,3047.657955,70.60850416,67.50006771,3.786658,1
4228,49.98857537,49.98856873,2288.227168,2284.040576,31.87516495,-82.91553615,3.766904,1
4229,49.98864133,49.98863186,2274.088101,2271.12261,30.3850918,-80.94686688,3.798369,1
4230,49.98737988,49.98740933,2524.550517,2516.527016,71.06532244,-40.07825327,3.7402108,1
4231,49.97345634,49.98588895,3919.885754,4227.325398,130.4958832,-575.3216016,3.7269334,1
4232,49.98858622,49.98860515,2284.443327,2276.898214,26.92235856,-83.13905968,3.7466524,1
4233,49.98305544,49.98325701,3379.221624,3309.428541,258.4585204,35.87815931,3.8369526,1
4234,49.98862799,49.98858851,2276.328993,2279.666542,29.40081853,-79.80318419,3.7687303,1
4235,49.98463788,49.98373994,2983.975758,3225.54484,85.0628572,100.4958805,3.7587825,1
4236,49.98864679,49.98864555,2273.056122,2268.342785,27.88969615,-83.87527029,3.7601691,1
4237,49.98766841,49.98533459,2399.854651,2837.592622,0.3353811054,31.19690911,3.7397126,1
4238,49.98855235,49.9885375,2289.921731,2287.498636,22.5993711,-73.4025918,3.8664139,1
