run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
59,16,24,32,0,1,1,1,1,1,1,0,1,1,1,1,207.840672,213.6475977,269.9872239,10.70383299,39.00254817,32.11219289,209.2017969,214.3742511,270.7121931,10.62847826,38.79602212,32.08100522
60,16,24,32,0,1,1,1,1,1,1,1,0,1,1,1,203.734405,216.4123687,272.5931445,34.75924661,74.67072065,78.29529381,214.3364287,214.4755979,266.8072606,41.70458969,72.0296775,77.93255502
61,16,24,32,0,1,1,1,1,1,1,1,1,0,1,1,211.0470212,214.2116968,268.7100737,13.21851743,9.79509755,14.86137438,214.5189002,215.0634904,268.1900725,16.93637211,4.349372918,15.05942101
62,16,24,32,0,1,1,1,1,1,1,1,1,1,0,1,204.6358236,219.7330506,267.6340128,69.79577072,76.17075866,40.80688196,210.4302114,228.4127317,259.7216285,73.12868945,76.64410201,35.60529696
63,16,24,32,0,1,1,1,1,1,1,1,1,1,1,0,207.0944299,217.175734,267.8863517,4.64098277,13.43414721,14.23364455,208.9189252,219.9285625,266.4999736,12.42845123,14.32241602,10.34149043
64,16,24,32,1,0,1,1,1,1,1,1,1,1,1,1,208.1305895,216.6387274,267.4338344,4.999497065,12.07522118,12.820215,209.8942442,219.2626197,266.1980008,12.15236868,13.06286401,8.699203012
65,16,24,32,1,0,1,1,1,1,0,1,1,1,1,1,207.8373513,213.6412794,269.9948654,10.70403811,39.07749344,32.18307908,209.1984277,214.3662524,270.7342743,10.62888277,38.86016908,32.15305602
66,16,24,32,1,0,1,1,1,1,1,0,1,1,1,1,232.3860266,358.6264445,326.0626056,13.10881357,18.8442691,18.26413027,236.9888641,360.0894512,328.554679,16.00004604,16.68527722,19.53472463
67,16,24,32,1,0,1,1,1,1,1,1,0,1,1,1,210.0845409,215.6324033,267.0389522,10.97547912,9.688537844,13.11470683,213.3727204,216.3461517,266.2744182,15.06779457,3.675503649,13.07077559
68,16,24,32,1,0,1,1,1,1,1,1,1,0,1,1,203.6147576,216.322846,272.6202422,35.08918966,75.50849478,79.10497434,214.2307698,214.3001603,266.6808131,41.96244209,72.84688269,78.71287454
